,id,master_id,year,artists,title,labels,styles,master_url,formats,rym_url,rating_value,rating_count
708,4014845,434269,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",Take This Heart Of Mine ,"[('T 54132', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/434269,"['7""', '45 RPM', 'Single']",,,
709,1204496,252292,,"[('Smokey Robinson', 'https://api.discogs.com/artists/86094'), ('The Miracles', 'https://api.discogs.com/artists/80124')]",The Tears Of A Clown,"[('T 54199', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Rock & Roll', 'Soul']",https://api.discogs.com/masters/252292,"['7""', '45 RPM', 'Single']",,,
710,8257550,899403,,"[('Valerie Simpson', 'https://api.discogs.com/artists/268169')]",Can't It Wait Until Tomorrow / Back To Nowhere,"[('T 54204F', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/899403,"['7""', '45 RPM', 'Single']",https://rateyourmusic.com/release/single/valerie-simpson/cant-it-wait-until-tomorrow-back-to-nowhere/,3.17,8
711,4781445,183107,,"[('Stevie Wonder', 'https://api.discogs.com/artists/18956')]",Don't You Worry 'Bout A Thing,"[('T 54245F', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/183107,"['7""', '45 RPM', 'Single']",,,
712,1709787,148748,,"[('The Miracles', 'https://api.discogs.com/artists/80124')]",Love Machine,"[('T 54262F', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Disco', 'Funk']",https://api.discogs.com/masters/148748,"['7""', '45 RPM']",https://rateyourmusic.com/release/single/the-miracles/love-machine.p/,3.29,118
713,1568011,66757,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",I Want You,"[('T 54264F', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/66757,"['7""', '45 RPM', 'Single', 'Stereo']",https://rateyourmusic.com/release/single/marvin-gaye/i-want-you/,3.93,266
714,1205719,156614,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",Got To Give It Up,"[('T 54280F', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Disco'],https://api.discogs.com/masters/156614,"['7""', 'Single', '45 RPM']",,,
715,7126777,434259,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",Can I Get A Witness,"[('T-54087', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/434259,"['7""', '45 RPM', 'Single']",,,
716,9008692,412511,,"[('The Miracles', 'https://api.discogs.com/artists/80124')]",I Like It Like That / You're So Fine And Sweet,"[('T-54098', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/412511,"['7""', '45 RPM', 'Single']",https://rateyourmusic.com/release/single/the-miracles/i-like-it-like-that-youre-so-fine-and-sweet/lists/,3.25,31
717,653990,122590,,"[('The Isley Brothers', 'https://api.discogs.com/artists/47512')]",This Old Heart Of Mine (Is Weak For You) / There's No Love Left,"[('T-54128', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/122590,"['7""', '45 RPM']",https://rateyourmusic.com/release/single/the_isley_brothers/this_old_heart_of_mine__is_weak_for_you____theres_no_love_left/,3.95,343
